transaction_id,transaction_qty,unit_price
93898,2,40.9
47363,1,20.45
48021,1,20.45
61738,1,20.45
62962,1,20.45
66350,1,20.45
70222,1,20.45
71232,1,20.45
71688,1,20.45
80403,1,20.45
92471,1,20.45
96608,1,20.45
98634,1,20.45
202526,2,40.9
203522,2,40.9
102964,1,20.45
4855,1,15.0
7481,1,15.0
8858,1,15.0
21760,1,15.0
44576,2,30.0
22696,1,15.0
27885,1,15.0
29255,1,15.0
39679,1,15.0
80017,2,30.0
42699,1,15.0
43426,1,15.0
44664,1,15.0
95657,2,30.0
54961,1,15.0
184462,3,45.0
62285,1,15.0
65978,1,15.0
66887,1,15.0
68175,1,15.0
71904,1,15.0
72179,1,15.0
80303,1,15.0
266419,3,45.0
179585,2,30.0
180662,2,30.0
189276,2,30.0
95647,1,15.0
194916,2,30.0
100274,1,15.0
102177,1,15.0
205320,2,30.0
227090,2,30.0
4492,1,21.0
5030,1,21.0
16712,2,42.0
9633,1,21.0
10217,1,21.0
10639,1,21.0
11574,1,21.0
17265,1,21.0
44201,2,42.0
51311,2,42.0
26624,1,21.0
56172,2,42.0
28647,1,21.0
58709,2,42.0
39182,1,21.0
87262,2,42.0
45443,1,21.0
46176,1,21.0
139570,3,63.0
47343,1,21.0
47800,1,21.0
55007,1,21.0
61219,1,21.0
61679,1,21.0
62528,1,21.0
63532,1,21.0
67278,1,21.0
69335,1,21.0
212048,3,63.0
72753,1,21.0
88483,1,21.0
178884,2,42.0
384742,4,84.0
97839,1,21.0
99960,1,21.0
100410,1,21.0
203540,2,42.0
103295,1,21.0
227008,2,42.0
4806,1,19.75
6304,1,19.75
7495,1,19.75
8077,1,19.75
11042,1,19.75
16523,1,19.75
21788,1,19.75
25249,1,19.75
25625,1,19.75
28032,1,19.75
29515,1,19.75
77398,2,39.5
39577,1,19.75
39894,1,19.75
43183,1,19.75
46515,1,19.75
47168,1,19.75
61503,1,19.75
62151,1,19.75
129327,2,39.5
132710,2,39.5
67089,1,19.75
70683,1,19.75
72362,1,19.75
87746,1,19.75
90154,1,19.75
92569,1,19.75
190049,2,39.5
95916,1,19.75
99729,1,19.75
203179,2,39.5
206021,2,39.5
113391,1,19.75
16976,2,90.0
9222,1,45.0
10034,1,45.0
10848,1,45.0
22779,2,90.0
44516,2,90.0
26168,1,45.0
27531,1,45.0
38806,1,45.0
40534,1,45.0
40864,1,45.0
45079,1,45.0
93625,2,90.0
62120,1,45.0
63304,1,45.0
67874,1,45.0
69947,1,45.0
215462,3,135.0
80372,1,45.0
88480,1,45.0
89622,1,45.0
96565,1,45.0
96922,1,45.0
98267,1,45.0
100818,1,45.0
407558,4,180.0
7706,1,22.5
22374,2,45.0
33578,2,45.0
26243,1,22.5
29147,1,22.5
40804,1,22.5
85891,2,45.0
45886,1,22.5
46320,1,22.5
94618,2,45.0
48170,1,22.5
66839,1,22.5
69173,1,22.5
140120,2,45.0
70436,1,22.5
143407,2,45.0
91548,1,22.5
94550,1,22.5
97068,1,22.5
199435,2,45.0
100220,1,22.5
305920,3,67.5
102587,1,22.5
4387,1,10.0
8119,1,10.0
8553,1,10.0
11641,1,10.0
17337,1,10.0
21810,1,10.0
24955,1,10.0
51198,2,20.0
26028,1,10.0
28114,1,10.0
29231,1,10.0
39064,1,10.0
87137,2,20.0
46190,1,10.0
46547,1,10.0
61539,1,10.0
70258,1,10.0
141315,2,20.0
72307,1,10.0
192526,2,20.0
96699,1,10.0
99988,1,10.0
402896,4,40.0
102723,1,10.0
113505,1,10.0
4324,1,8.95
6181,1,8.95
10037,1,8.95
10499,1,8.95
11032,1,8.95
23583,1,8.95
23648,1,8.95
26107,1,8.95
27534,1,8.95
28864,1,8.95
44178,1,8.95
45727,1,8.95
47075,1,8.95
53982,1,8.95
64269,1,8.95
67799,1,8.95
209555,3,26.849999999999998
142820,2,17.9
92215,1,8.95
95902,1,8.95
194384,2,17.9
100048,1,8.95
100540,1,8.95
305099,3,26.849999999999998
4393,1,8.95
4586,1,8.95
6266,1,8.95
9839,1,8.95
22217,2,17.9
16763,1,8.95
34213,2,17.9
22298,1,8.95
24115,1,8.95
25908,1,8.95
27277,1,8.95
27917,1,8.95
28506,1,8.95
39071,1,8.95
39292,1,8.95
40545,1,8.95
87419,2,17.9
45775,1,8.95
46383,1,8.95
189719,4,35.8
61551,1,8.95
61798,1,8.95
64945,1,8.95
139301,2,17.9
143795,2,17.9
79800,1,8.95
88890,1,8.95
268896,3,26.849999999999998
93148,1,8.95
95696,1,8.95
198484,2,17.9
102171,1,8.95
114003,1,8.95
4881,1,8.95
7643,1,8.95
16107,2,17.9
8738,1,8.95
75462,3,26.849999999999998
28072,1,8.95
29222,1,8.95
38919,1,8.95
40549,1,8.95
43646,1,8.95
46029,1,8.95
46550,1,8.95
48300,1,8.95
53870,1,8.95
61378,1,8.95
62277,1,8.95
66425,1,8.95
67130,1,8.95
67841,1,8.95
70751,1,8.95
145142,2,17.9
80297,1,8.95
177078,2,17.9
89826,1,8.95
91151,1,8.95
285226,3,26.849999999999998
191692,2,17.9
193918,2,17.9
99703,1,8.95
100339,1,8.95
103412,1,8.95
10256,1,8.95
10923,1,8.95
34082,2,17.9
47748,2,17.9
26605,1,8.95
28508,1,8.95
90008,2,17.9
61005,1,8.95
62031,1,8.95
129196,2,17.9
136791,2,17.9
68938,1,8.95
69644,1,8.95
185485,2,17.9
97804,1,8.95
98041,1,8.95
101356,1,8.95
3910,1,9.25
5169,1,9.25
13105,2,18.5
10029,1,9.25
17048,1,9.25
22582,1,9.25
28023,1,9.25
29067,1,9.25
38447,1,9.25
83557,2,18.5
43578,1,9.25
45168,1,9.25
142859,3,27.75
108149,2,18.5
64984,1,9.25
67071,1,9.25
70668,1,9.25
144126,2,18.5
79987,1,9.25
87889,1,9.25
90368,1,9.25
186144,2,18.5
98399,1,9.25
99554,1,9.25
100531,1,9.25
306957,3,27.75
4104,1,8.95
4926,1,8.95
11243,1,8.95
33840,2,17.9
21488,1,8.95
47823,2,17.9
26111,1,8.95
28511,1,8.95
44182,1,8.95
47015,1,8.95
54733,1,8.95
121696,2,17.9
62344,1,8.95
64475,1,8.95
69476,1,8.95
71816,1,8.95
88267,1,8.95
89915,1,8.95
92585,1,8.95
203414,2,17.9
4934,1,9.5
5841,1,9.5
17575,2,19.0
18477,2,19.0
21613,1,9.5
23313,1,9.5
23949,1,9.5
26508,1,9.5
28703,1,9.5
38810,1,9.5
39763,1,9.5
41649,1,9.5
44191,1,9.5
89864,2,19.0
46159,1,9.5
47254,1,9.5
54259,1,9.5
62367,1,9.5
62728,1,9.5
63742,1,9.5
64676,1,9.5
136243,2,19.0
68752,1,9.5
71566,1,9.5
89161,1,9.5
90394,1,9.5
91681,1,9.5
193849,2,19.0
196101,2,19.0
99931,1,9.5
305797,3,28.5
112412,1,9.5
4229,1,10.95
5546,1,10.95
7701,1,10.95
21635,1,10.95
25760,1,10.95
26859,1,10.95
29479,1,10.95
39744,1,10.95
40526,1,10.95
43750,1,10.95
45113,1,10.95
48156,1,10.95
61252,1,10.95
62351,1,10.95
63299,1,10.95
127572,2,21.9
66512,1,10.95
70888,1,10.95
72666,1,10.95
88530,1,10.95
91123,1,10.95
183470,2,21.9
95211,1,10.95
98329,1,10.95
100811,1,10.95
103173,1,10.95
113388,1,10.95
21664,1,6.4
22572,1,6.4
47676,1,6.4
61301,1,6.4
62692,1,6.4
72071,1,6.4
177441,2,12.8
90353,1,6.4
102405,1,6.4
9363,2,15.2
6235,1,7.6
7433,1,7.6
8207,1,7.6
8979,1,7.6
10611,1,7.6
10939,1,7.6
22327,1,7.6
47643,2,15.2
24935,1,7.6
25736,1,7.6
29199,1,7.6
78846,2,15.2
41156,1,7.6
41623,1,7.6
46627,1,7.6
47034,1,7.6
62317,1,7.6
63218,1,7.6
64094,1,7.6
67231,1,7.6
68369,1,7.6
69517,1,7.6
70842,1,7.6
145028,2,15.2
91030,1,7.6
92120,1,7.6
189981,2,15.2
96116,1,7.6
98093,1,7.6
99017,1,7.6
100756,1,7.6
101394,1,7.6
205973,2,15.2
112191,1,7.6
9533,2,26.66
7983,1,13.33
8932,1,13.33
10132,1,13.33
10408,1,13.33
11428,1,13.33
27550,1,13.33
29051,1,13.33
29233,1,13.33
38379,1,13.33
39595,1,13.33
41420,1,13.33
44542,1,13.33
45552,1,13.33
47663,1,13.33
60664,1,13.33
62012,1,13.33
64408,1,13.33
66108,1,13.33
133812,2,26.66
68297,1,13.33
209959,3,39.99
70518,1,13.33
72309,1,13.33
87760,1,13.33
179174,2,26.66
92503,1,13.33
95707,1,13.33
298342,3,39.99
102385,1,13.33
102725,1,13.33
226330,2,26.66
1545,5,10.0
6326,10,14.0
6029,7,8.0
10235,6,10.0
7501,5,6.0
6339,4,4.0
7105,3,4.0
24775,7,12.0
4559,1,2.0
37358,9,14.0
6180,1,2.0
34494,7,10.0
22478,4,6.0
41229,8,10.0
17537,2,4.0
18853,4,4.0
70810,10,14.0
31811,4,6.0
67664,6,12.0
73989,10,12.0
65011,9,10.0
67485,7,10.0
42516,5,6.0
73064,8,10.0
91750,12,12.0
62262,6,8.0
48666,6,6.0
66380,4,8.0
35377,2,4.0
109424,9,12.0
168777,15,18.0
58406,4,6.0
99480,8,10.0
40897,4,4.0
20886,1,2.0
64483,3,6.0
88492,6,8.0
68512,5,6.0
69785,4,6.0
95534,4,8.0
50054,3,4.0
154401,11,12.0
52599,4,4.0
107536,6,8.0
82337,5,6.0
169172,10,12.0
86782,3,6.0
58370,3,4.0
210383,12,14.0
60962,2,4.0
156405,9,10.0
31863,2,2.0
324000,15,20.0
98948,5,6.0
166983,6,10.0
272535,10,16.0
208783,10,12.0
249069,9,14.0
217418,7,12.0
146890,5,8.0
112400,5,6.0
113975,3,6.0
193952,6,10.0
157759,6,8.0
161334,5,8.0
163751,5,8.0
208195,6,10.0
84128,2,4.0
128991,6,6.0
349709,14,16.0
177397,6,8.0
270917,9,12.0
229164,6,10.0
140074,5,6.0
284861,6,12.0
239635,7,10.0
292482,10,12.0
297037,10,12.0
301475,10,12.0
152863,4,6.0
412178,13,16.0
366423,14,14.0
263906,7,10.0
374287,11,14.0
324511,10,12.0
218463,5,8.0
555486,14,20.0
226082,6,8.0
800517,22,28.0
348269,6,12.0
469499,14,16.0
118853,4,4.0
240729,4,8.0
426939,8,14.0
185372,3,6.0
376857,7,12.0
255490,7,8.0
258640,5,8.0
261459,5,8.0
265366,7,8.0
470704,12,14.0
341991,6,10.0
414023,11,12.0
279838,7,8.0
283193,6,8.0
286941,4,8.0
217453,5,6.0
440351,11,12.0
370612,7,10.0
600032,12,16.0
684678,12,18.0
538243,13,14.0
467595,11,12.0
471264,9,12.0
713616,13,18.0
399743,7,10.0
891923,15,22.0
739223,14,18.0
1163999,20,28.0
674068,11,16.0
596762,12,14.0
344788,7,8.0
523171,7,12.0
971190,14,22.0
625867,9,14.0
725418,10,16.0
550506,9,12.0
742634,10,16.0
656403,11,14.0
474557,7,10.0
576870,10,12.0
875144,12,18.0
689369,10,14.0
697914,9,14.0
706479,12,14.0
611594,6,12.0
514479,8,10.0
1145449,20,22.0
843490,13,16.0
1277215,18,24.0
1183500,14,22.0
1302833,20,24.0
987534,17,18.0
994438,14,18.0
892514,13,16.0
1238120,17,22.0
909258,12,16.0
1462,7,12.5
5186,10,15.0
4302,6,7.5
13763,10,17.5
14983,10,15.0
9104,4,7.5
10540,5,7.5
4333,2,2.5
14320,4,7.5
15650,5,7.5
17274,5,7.5
25153,5,10.0
7020,1,2.5
15207,2,5.0
33300,5,10.0
35807,5,10.0
37763,6,10.0
9723,2,2.5
21120,2,5.0
78215,7,17.5
11705,2,2.5
61750,7,12.5
77191,10,15.0
67652,9,12.5
42174,4,7.5
58367,6,10.0
45493,4,7.5
47656,4,7.5
64808,8,10.0
100304,9,15.0
51084,4,7.5
105567,8,15.0
72996,6,10.0
112193,10,15.0
117044,9,15.0
79756,6,10.0
61230,5,7.5
41730,3,5.0
21681,2,2.5
44525,3,5.0
68302,4,7.5
116085,9,12.5
47483,3,5.0
24344,1,2.5
175614,9,17.5
51032,3,5.0
79031,3,7.5
215027,11,20.0
83643,4,7.5
172631,6,15.0
147225,7,12.5
150083,8,12.5
152553,8,12.5
93547,5,7.5
95367,4,7.5
162013,7,12.5
98568,5,7.5
33443,1,2.5
136326,5,10.0
208239,10,15.0
213005,7,15.0
253146,9,17.5
184226,10,12.5
186970,8,12.5
75862,4,5.0
38832,1,2.5
78988,2,5.0
281760,11,17.5
122367,6,7.5
207689,6,12.5
126668,5,7.5
214782,7,12.5
217390,7,12.5
266934,8,15.0
316135,10,17.5
91438,3,5.0
139185,4,7.5
379479,8,20.0
95876,2,5.0
341626,10,17.5
98631,3,5.0
200893,6,10.0
203653,6,10.0
360537,11,17.5
209252,7,10.0
317536,7,15.0
106912,3,5.0
270336,7,12.5
272872,8,12.5
388573,9,17.5
450517,12,20.0
228954,4,10.0
521185,13,22.5
351809,9,15.0
296943,7,12.5
240921,7,10.0
244578,6,10.0
123545,2,5.0
315390,6,12.5
508704,14,20.0
387241,8,15.0
130811,3,5.0
398133,9,15.0
603658,12,22.5
545628,11,20.0
759856,17,27.5
139321,3,5.0
495009,8,17.5
788790,11,27.5
507469,10,17.5
293132,6,10.0
594297,12,20.0
224912,6,7.5
304654,7,10.0
154078,2,5.0
544093,12,17.5
78870,1,2.5
238282,5,7.5
399805,6,12.5
648679,11,20.0
1065257,19,32.5
914677,16,27.5
757522,13,22.5
937709,17,27.5
345206,6,10.0
434858,9,12.5
707632,11,20.0
535878,6,15.0
726016,12,20.0
915369,18,25.0
648845,10,17.5
281246,5,7.5
475780,7,12.5
958256,13,25.0
1071329,16,27.5
787847,10,20.0
397132,6,10.0
604177,8,15.0
1224099,12,30.0
721191,10,17.5
1250212,19,30.0
947436,12,22.5
1382420,23,32.5
860099,12,20.0
760353,11,17.5
1095855,18,25.0
442752,5,10.0
782218,11,17.5
788401,10,17.5
1135062,12,25.0
1518,5,12.0
8392,15,30.0
9118,10,21.0
5550,5,9.0
2342,1,3.0
9171,3,9.0
14424,6,12.0
12758,5,9.0
13382,3,9.0
26376,8,15.0
35367,8,18.0
6287,2,3.0
27745,7,12.0
7424,1,3.0
49631,7,18.0
26439,6,9.0
28533,5,9.0
10115,2,3.0
42714,6,12.0
21897,2,6.0
35593,4,9.0
36904,3,9.0
102150,13,24.0
13601,1,3.0
70918,7,15.0
58191,6,12.0
91916,7,18.0
78302,10,15.0
32599,3,6.0
33477,2,6.0
68455,5,12.0
71056,6,12.0
91308,5,15.0
112365,9,18.0
77608,6,12.0
60033,5,9.0
41175,4,6.0
21112,1,3.0
43389,3,6.0
110291,8,15.0
45496,2,6.0
92849,6,12.0
95197,8,12.0
49131,4,6.0
50277,4,6.0
128899,7,15.0
158279,10,18.0
53968,4,6.0
140500,7,15.0
85672,3,9.0
58770,2,6.0
120301,6,12.0
182846,8,18.0
93717,6,9.0
190933,8,18.0
96777,4,9.0
165033,5,15.0
134011,7,12.0
171233,5,15.0
138460,5,12.0
283841,11,24.0
252893,13,21.0
220858,7,18.0
112569,5,9.0
76085,2,6.0
272024,7,21.0
196863,8,15.0
120513,5,9.0
122492,4,9.0
166342,8,12.0
295842,12,21.0
128985,3,9.0
175628,7,12.0
267429,10,18.0
405799,16,27.0
46204,1,3.0
232926,6,15.0
141500,3,9.0
96162,2,6.0
341606,12,21.0
246552,7,15.0
351455,10,21.0
203514,8,12.0
257765,7,15.0
261975,7,15.0
316992,9,18.0
266761,9,15.0
379283,8,21.0
54653,2,3.0
277863,6,15.0
506308,13,27.0
342708,10,18.0
289511,7,15.0
469667,9,24.0
178767,4,9.0
241503,6,12.0
427507,10,21.0
247471,6,12.0
314460,8,15.0
446154,11,21.0
193624,6,9.0
457629,12,21.0
198781,4,9.0
470863,10,21.0
408949,9,18.0
551868,15,24.0
209597,4,9.0
779994,15,33.0
357930,5,15.0
289862,6,12.0
587761,13,24.0
370521,8,15.0
450589,9,18.0
608342,14,24.0
383508,7,15.0
233335,4,9.0
393317,9,15.0
555471,11,21.0
405674,7,15.0
656377,12,24.0
996765,18,36.0
925646,19,33.0
682286,10,24.0
517911,9,18.0
523660,11,18.0
885288,12,30.0
982717,14,33.0
544012,9,18.0
550799,9,18.0
462925,10,15.0
938116,17,30.0
285252,3,9.0
1057762,15,33.0
680896,11,21.0
589742,11,18.0
198699,3,6.0
1109624,16,33.0
711145,7,21.0
411628,5,12.0
937577,13,27.0
946421,15,27.0
850858,13,24.0
968719,15,27.0
1083572,14,30.0
768255,8,21.0
1216207,19,33.0
1004045,13,27.0
788390,9,21.0
1250072,17,33.0
1123,5,6.6000000000000005
3444,7,8.8
9255,9,13.200000000000001
8361,5,8.8
7493,6,6.6000000000000005
6135,3,4.4
7554,4,4.4
4024,2,2.2
18642,6,8.8
36697,11,15.400000000000002
23810,5,8.8
12486,3,4.4
14360,2,4.4
37303,7,11.0
33010,6,8.8
26506,5,6.6000000000000005
57060,9,13.200000000000001
20091,2,4.4
31928,4,6.6000000000000005
55674,5,11.0
11835,2,2.2
86046,8,15.400000000000002
38300,4,6.6000000000000005
40584,6,6.6000000000000005
98424,9,15.400000000000002
146870,14,22.0
106202,12,15.400000000000002
47180,3,6.6000000000000005
64848,4,8.8
50259,6,6.6000000000000005
16944,1,2.2
17793,1,2.2
73227,6,8.8
132414,9,15.400000000000002
19523,1,2.2
140014,10,15.400000000000002
41041,4,4.4
188883,12,19.8
110158,8,11.0
136386,10,13.200000000000001
140154,6,13.200000000000001
23825,1,2.2
49194,2,4.4
49747,2,4.4
25613,1,2.2
105362,8,8.8
189200,12,15.400000000000002
55106,2,4.4
84233,3,6.6000000000000005
114974,4,8.8
87925,5,6.6000000000000005
120726,6,8.8
30734,2,2.2
186211,10,13.200000000000001
222213,10,15.400000000000002
162263,7,11.0
98911,5,6.6000000000000005
133777,6,8.8
67909,3,4.4
104601,4,6.6000000000000005
213135,10,13.200000000000001
180627,7,11.0
147381,6,8.8
75131,3,4.4
152476,6,8.8
115960,5,6.6000000000000005
236998,9,13.200000000000001
40226,1,2.2
122809,4,6.6000000000000005
41522,1,2.2
253910,7,13.200000000000001
85689,2,4.4
306025,10,15.400000000000002
178172,7,8.8
226210,8,11.0
91594,2,4.4
233143,6,11.0
284040,6,13.200000000000001
143549,4,6.6000000000000005
292324,7,13.200000000000001
197617,6,8.8
250703,7,11.0
356078,10,15.400000000000002
206242,7,8.8
261065,9,11.0
52716,2,2.2
427558,10,17.6
433053,10,17.6
328569,8,13.200000000000001
222684,5,8.8
281896,9,11.0
457481,10,17.6
347851,8,13.200000000000001
352425,8,13.200000000000001
297802,7,11.0
482425,11,17.6
244890,6,8.8
371680,9,13.200000000000001
313658,9,11.0
318781,6,11.0
193355,6,6.6000000000000005
196017,3,6.6000000000000005
132279,2,4.4
403271,10,13.200000000000001
340689,8,11.0
691088,16,22.0
419879,9,13.200000000000001
212706,5,6.6000000000000005
572892,8,17.6
72151,1,2.2
293247,6,8.8
446021,10,13.200000000000001
825348,16,24.200000000000003
456293,9,13.200000000000001
231039,6,6.6000000000000005
776874,18,22.0
314721,7,8.8
316801,6,8.8
319820,5,8.8
568083,10,15.400000000000002
657219,13,17.6
915504,16,24.200000000000003
505663,9,13.200000000000001
681975,13,17.6
431524,8,11.0
698442,10,17.6
176747,4,4.4
536428,9,13.200000000000001
634241,10,15.400000000000002
459248,6,11.0
277587,4,6.6000000000000005
470184,6,11.0
284695,5,6.6000000000000005
961171,15,22.0
1069853,18,24.200000000000003
787722,14,17.6
696950,10,15.400000000000002
503489,8,11.0
1017845,10,22.0
205935,4,4.4
938372,12,19.8
421616,7,8.8
955494,13,19.8
537047,7,11.0
1302895,18,26.400000000000002
1096098,17,22.0
552776,8,11.0
669135,8,13.200000000000001
900705,12,17.6
454416,5,8.8
484,4,6.0
5639,11,21.0
5350,8,12.0
5795,5,9.0
7338,4,9.0
3070,2,3.0
7047,3,6.0
16770,6,12.0
18245,6,12.0
15969,4,9.0
23538,5,12.0
12744,4,6.0
6755,1,3.0
37935,8,15.0
49565,9,18.0
35261,6,12.0
38001,8,12.0
29548,6,9.0
31814,3,9.0
22414,2,6.0
47152,6,12.0
61332,7,15.0
51729,6,12.0
40499,4,9.0
56776,7,12.0
132635,14,27.0
45644,3,9.0
94015,9,18.0
64603,6,12.0
49969,4,9.0
103055,8,18.0
105901,9,18.0
91011,9,15.0
93650,7,15.0
97209,7,15.0
80249,6,12.0
20350,1,3.0
62906,4,9.0
43467,3,6.0
43903,3,6.0
22670,2,3.0
116807,8,15.0
71701,6,9.0
98365,6,12.0
74785,5,9.0
102542,5,12.0
105307,5,12.0
134489,9,15.0
109925,6,12.0
196958,9,21.0
57478,2,6.0
58868,4,6.0
209395,10,21.0
122529,7,12.0
218218,10,21.0
127265,6,12.0
258893,12,24.0
65887,3,6.0
233856,10,21.0
171331,8,15.0
138849,5,12.0
212648,10,18.0
145040,5,12.0
257619,11,21.0
74953,3,6.0
152407,6,12.0
155789,6,12.0
236757,8,18.0
40220,1,3.0
245998,8,18.0
166389,8,12.0
211321,8,15.0
300747,10,21.0
393383,12,27.0
267019,9,18.0
226598,8,15.0
275153,10,18.0
233244,7,15.0
189751,4,12.0
239824,8,15.0
292649,9,18.0
247391,7,15.0
501762,14,30.0
305468,8,18.0
360946,12,21.0
312843,7,18.0
316858,9,18.0
321125,8,18.0
162583,4,9.0
273970,6,15.0
444286,13,24.0
337702,11,18.0
685187,19,36.0
290223,9,15.0
411775,10,21.0
178487,5,9.0
180779,4,9.0
306650,7,15.0
247815,4,12.0
125877,3,6.0
510786,12,24.0
323281,10,15.0
458099,9,21.0
199217,5,9.0
471170,10,21.0
545271,11,24.0
414839,11,18.0
629242,15,27.0
283656,7,12.0
287352,4,12.0
217560,5,9.0
219838,4,9.0
370597,8,15.0
525020,11,21.0
532865,10,21.0
1000637,21,39.0
232950,3,9.0
627723,12,24.0
475199,10,18.0
319949,7,12.0
648342,13,24.0
573366,10,21.0
1246611,22,45.0
590702,12,21.0
511976,10,18.0
517767,9,18.0
349929,5,12.0
443158,7,15.0
805218,10,27.0
362304,6,12.0
275330,4,9.0
464032,10,15.0
656911,10,21.0
474817,7,15.0
673135,11,21.0
388163,5,12.0
886276,15,27.0
696634,11,21.0
806053,12,24.0
918676,9,27.0
616983,9,18.0
521126,7,15.0
736912,10,21.0
957819,12,27.0
752991,10,21.0
978197,14,27.0
547739,5,15.0
1215632,17,33.0
892770,12,24.0
787981,10,21.0
341239,4,9.0
2290,8,17.5
5809,11,24.5
10947,14,28.0
8160,6,14.0
7611,5,10.5
9235,6,10.5
10883,4,10.5
10641,3,7.0
17544,3,10.5
32322,10,17.5
6881,2,3.5
30570,6,14.0
16404,2,7.0
35573,6,14.0
18790,4,7.0
19847,4,7.0
52477,7,17.5
22528,2,7.0
23519,4,7.0
36767,4,10.5
77591,10,21.0
53797,5,14.0
70211,9,17.5
87746,7,21.0
46031,5,10.5
62962,7,14.0
48559,3,10.5
50172,5,10.5
154129,14,31.5
53066,5,10.5
36316,4,7.0
74954,7,14.0
38803,2,7.0
79951,7,14.0
20362,1,3.5
63219,5,10.5
68091,5,10.5
139926,8,21.0
119497,10,17.5
171454,13,24.5
75426,4,10.5
128466,8,17.5
185113,12,24.5
53961,4,7.0
109754,7,14.0
56051,2,7.0
173275,6,21.0
59005,2,7.0
89619,5,10.5
213774,10,24.5
93198,4,10.5
158107,9,17.5
322704,13,35.0
98789,5,10.5
168047,8,17.5
171151,7,17.5
173431,9,17.5
141700,5,14.0
144423,6,14.0
110521,5,10.5
112262,4,10.5
114075,4,10.5
80840,3,7.0
123175,3,10.5
83468,4,7.0
211740,9,17.5
86381,3,7.0
131976,3,10.5
266540,9,21.0
135628,5,10.5
229053,8,17.5
140220,3,10.5
284753,6,21.0
95987,3,7.0
194599,7,14.0
247161,7,17.5
250516,5,17.5
406354,11,28.0
359965,12,24.5
261640,10,17.5
158546,4,10.5
160077,5,10.5
216318,7,14.0
277970,6,17.5
224911,8,14.0
512922,15,31.5
232050,6,14.0
176306,5,10.5
297545,7,17.5
482882,10,28.0
188462,4,10.5
191527,5,10.5
517204,16,28.0
457927,11,24.5
132730,3,7.0
470312,9,24.5
545674,11,28.0
344986,9,17.5
279102,6,14.0
565670,12,28.0
215627,3,10.5
362595,7,17.5
146639,3,7.0
444638,9,21.0
524643,10,24.5
607019,11,28.0
615254,13,28.0
700941,15,31.5
471510,9,21.0
396045,8,17.5
400895,10,17.5
486596,9,21.0
738577,15,31.5
912937,18,38.5
758225,13,31.5
512136,11,21.0
604015,11,24.5
436431,6,17.5
453643,8,17.5
367297,6,14.0
650132,14,24.5
656703,11,24.5
475104,8,17.5
576315,8,21.0
876256,15,31.5
196803,4,7.0
894240,15,31.5
1106512,16,38.5
918427,9,31.5
411635,6,14.0
207635,4,7.0
631693,10,21.0
744058,11,24.5
1074144,14,35.0
1194194,16,38.5
1206257,17,38.5
1107517,14,35.0
557243,9,17.5
563233,10,17.5
681173,9,21.0
2469,10,14.0
2572,4,6.0
4024,6,6.0
5843,4,6.0
7623,4,6.0
12109,5,8.0
21480,7,12.0
8596,2,4.0
9289,3,4.0
15344,6,6.0
5781,1,2.0
25753,5,8.0
13831,2,4.0
15361,3,4.0
48967,9,12.0
89762,14,20.0
28261,5,6.0
40301,7,8.0
42156,7,8.0
55202,5,10.0
46974,8,8.0
73870,11,12.0
25994,2,4.0
53870,6,8.0
168307,18,24.0
88543,9,12.0
30664,4,4.0
62859,5,8.0
48438,5,6.0
68548,6,8.0
87961,6,10.0
73550,5,8.0
74955,7,8.0
155727,12,16.0
19890,2,2.0
62976,4,6.0
43107,3,4.0
110410,5,10.0
45140,4,4.0
93287,5,8.0
